,Category,Reasoning Type,gpt4o,claude3.5sonnet,llama3.1405B,gemini1.5pro,mistral2large
115,THINGS WITH SPOUTS,associative relations,0,0,0,0,0
116,PARTS OF A BOOK,semantic relations,0,1,1,0,0
117,CAT COAT PATTERNS,semantic relations,0,1,1,0,0
118,"NERVOUSNESS, IN THE SINGULAR",semantic relations,1,0,0,0,0
119,STARTING WITH VEGETABLES,word meaning + word form,0,0,0,0,0
120,OFF-TOPIC REMARKS,semantic relations,0,1,0,0,0
121,"CREATE, AS RESULTS",semantic relations,0,0,0,0,0
122,HOTTIE,semantic relations,0,0,0,0,0
123,"WORDS REPRESENTED BY THE LETTER ""R",word meaning + word form,0,0,0,0,0
124,BASIC DIRECTIONS,semantic relations,1,1,0,1,0
125,ADVOCATE FOR,semantic relations,0,1,0,0,0
126,DRAWBACK,semantic relations,0,1,0,0,0
127,INSTRUMENT HOMOPHONES,word meaning + word form,0,0,0,0,0
128,ANCIENT WRITING SURFACES,semantic relations,0,1,0,1,1
129,"LEAD, AS A TV PROGRAM",semantic relations,0,0,0,0,0
130,NATURAL ABILITY,semantic relations,1,1,0,1,0
131,WRAPPED THINGS,associative relations,0,0,0,0,0
132,JOKE AROUND WITH,semantic relations,0,0,0,0,0
133,POULTRY CUTS,semantic relations,0,0,0,0,0
134,BABY ANIMALS,semantic relations,0,1,0,0,0
135,PUSH THROUGH A CROWD,semantic relations,0,0,0,0,0
136,IMPOSTOR,semantic relations,1,0,0,1,0
137,UTTERANCE,semantic relations,0,0,0,0,0
138,ONE WHO LIKES SHOWING OFF,semantic relations,0,0,0,0,0
139,LOONEY TUNES CHARACTERS MINUS A LETTER,word meaning + word form,0,0,0,0,0
140,REALM OF EXPERTISE,semantic relations,0,0,0,0,0
141,MUSICAL INSTRUMENTS,semantic relations,0,0,0,0,0
142,USED TO REDIRECT TRAFFIC,semantic relations,0,0,0,0,0
143,FOOD    _,multiword expressions,0,0,0,0,0
144,WAYS TO SUPPORT A CANDIDATE,semantic relations,1,1,0,0,0
145,CONSTITUTION,semantic relations,0,1,0,0,0
146,CARPENTRY TOOLS,semantic relations,0,0,0,1,0
147,MATH ABBREVIATIONS,encyclopedic,0,0,0,0,0
148,EFFORTLESS,semantic relations,0,0,0,0,0
149,EXERTION,semantic relations,0,1,0,0,0
150,ENERGY FOR AN ELECTRONIC DEVICE,semantic relations,0,1,0,0,0
151,"WHAT ""POP"" MIGHT MEAN",semantic relations,0,1,0,0,0
152,ROMANTIC PARTNER,semantic relations,0,1,1,0,0
153,INSULT,semantic relations,0,0,0,0,0
154,GAS PUMP OPTIONS,semantic relations,0,1,1,0,0
155,_ TABLE,multiword expressions,0,1,0,0,0
156,OPEN SPACE,semantic relations,1,0,1,0,1
157,BOXING UNIT,semantic relations,1,0,1,0,1
158,GLITZINESS,semantic relations,0,0,0,1,0
159,EMOJI,semantic relations,0,0,0,0,0
160,BUILDINGS AROUND TOWN,semantic relations,1,1,0,0,1
161,HINDER,semantic relations,0,0,0,0,0
162,ANIMAL GROUP NAMES,semantic relations,1,0,0,0,0
163,STARTS OF U.S. PRESIDENTS,word meaning + word form,0,0,0,0,0
164,IN A BAD MOOD,semantic relations,0,0,0,1,0
165,EXPERIMENTAL,semantic relations,1,1,0,0,0
166,STARTS OF BROADWAY MUSICALS,word meaning + word form,0,0,0,0,0
167,PETER    _,multiword expressions,0,1,0,0,0
168,REGARD AS TRUE,semantic relations,1,1,1,0,1
169,FACADE,semantic relations,0,1,1,1,1
170,WAYS TO SECURE A TV,semantic relations,0,0,0,0,0
171,LIQUOR BOTTLE SIZES,semantic relations,1,0,0,0,0
172,SLENDER PROJECTIONS,semantic relations,0,0,1,0,0
173,CONDITIONS FOR COLLECTIBLES,semantic relations,0,0,0,0,0
174,PROFESSION,semantic relations,0,0,0,0,0
175,"WORDS BEFORE ""NUT",multiword expressions,0,0,0,0,0
176,ENORMOUS,associative relations,1,1,1,0,0
177,EMBODIMENT,semantic relations,0,1,1,0,0
178,COME ACROSS AS,semantic relations,0,0,0,0,0
179,"SILENT ""T",phonology,0,0,0,0,0
180,SCHOOL FACILITIES,semantic relations,0,1,0,0,0
181,ROULETTE BETS,semantic relations,0,0,0,0,0
182,"ASSOCIATED WITH ""DOVE",associative relations,1,0,0,0,0
183,_ GOOSE,multiword expressions,0,0,0,0,0
184,SCHOOL SUPPLIES,semantic relations,0,0,0,0,1
185,FUNDAMENTAL,semantic relations,0,0,0,0,0
186,TRANSFER,semantic relations,0,1,1,0,0
187,LIGHT-UP SIGNS,semantic relations,0,1,0,0,0
188,FUTURE LIKELIHOOD,semantic relations,1,1,0,0,1
189,BACK TALK,semantic relations,0,1,0,0,0
190,FISH,semantic relations,1,1,1,1,1
191,COMPONENTS OF EYEGLASSES,semantic relations,0,1,0,0,0
192,CHRONICLE,semantic relations,1,0,0,0,0
193,MESS OF HAIR,semantic relations,0,0,0,0,0
194,"TV SHOWS MINUS ""S",word meaning + word form,0,0,0,0,0
195,"WORDS AFTER ""HEDGE",multiword expressions,0,0,0,0,0
196,BIT OF ADVICE,semantic relations,0,0,0,0,0
197,FORTITUDE,semantic relations,1,1,1,0,0
198,SPEND TIME AT,semantic relations,0,0,0,0,0
199,WORDS ENDING IN NUMBERS,word meaning + word form,0,0,0,0,0
200,CHANGE STATES OF MATTER,semantic relations,0,0,0,0,0
201,REPLACEMENT,semantic relations,0,1,0,0,0
202,SLANGY NAMES FOR PROFESSIONS,associative relations,0,0,0,0,0
203,MARIAH CAREY NUMBER ONE HITS,encyclopedic,0,0,0,0,0
204,BIOLOGICAL BUILDING BLOCKS,semantic relations,1,1,1,0,0
205,PURCHASES FOR A BABY,semantic relations,0,0,0,0,0
206,OBJECTS PLAYED AS INSTRUMENTS,semantic relations,0,0,0,0,0
207,_ TAG,multiword expressions,0,0,0,0,0
208,YEARN,semantic relations,0,0,0,0,0
209,MAGAZINES,encyclopedic,0,0,0,0,0
210,CHARACTERS IN BOND MOVIES,encyclopedic,1,1,0,1,0
211,"WORDS THAT PRECEDE ""POP"" IN MUSIC GENRES",word meaning + word form,0,0,0,0,0
212,ROMANTIC RAPPORT,semantic relations,0,1,0,0,0
213,THINGS STORED BY A WEB BROWSER,semantic relations,0,0,0,0,0
214,SINGLE ROTATION,semantic relations,0,1,1,1,0
215,"WORDS BEFORE ""BELL",multiword expressions,0,0,0,0,0
216,"DEVELOP, AS IDEAS",semantic relations,1,1,0,0,0
217,TANGIBLE,semantic relations,0,0,0,0,0
218,KINDS OF CAKE,semantic relations,0,0,0,0,0
219,"THINGS YOU CAN THROW, IN METAPHORS",multiword expressions,0,1,0,0,0
220,PACK (AWAY) FOR FUTURE USE,semantic relations,1,1,0,0,0
221,ADJECTIVES FOR ASSETS,semantic relations,0,0,0,0,0
222,LATIN WORDS,encyclopedic,1,0,0,0,0
223,_ GAME,multiword expressions,0,0,0,0,0
224,SHOW THE WAY,semantic relations,0,1,0,0,1
225,SCHEME,semantic relations,0,0,1,0,0
226,SEEN ON A U.S. DOLLAR BILL,associative relations,0,0,0,0,0
227,FIRST WORDS OF CANADIAN PROVINCES/TERRITORIES,word meaning + word form,0,0,0,0,0
228,OLD SAYING,semantic relations,0,0,0,1,0
229,GRILL FUEL SOURCES,semantic relations,0,0,0,1,0
230,TREES,semantic relations,0,0,0,0,0
231,HOT TUB COMPONENTS,semantic relations,0,0,0,0,0
232,HOMOPHONES,phonology,0,0,0,1,0
233,CONNECT,semantic relations,0,1,0,0,0
234,PLACED DOWN,semantic relations,0,0,0,0,0
235,_FLOWER,multiword expressions,0,0,0,0,0
236,TYPES OF BAGS,semantic relations,1,1,0,1,1
237,WIGGLE ROOM,semantic relations,0,0,0,0,1
238,INDICATION TO PROCEED,semantic relations,0,1,0,0,0
239,UNDERWEAR IN THE SINGULAR,word meaning + word form,0,0,0,0,0
240,PURSUIT,semantic relations,1,1,1,1,1
241,ROMANTIC LETTER SIGN-OFFS,semantic relations,0,0,0,0,0
242,GROUP WITHIN A GROUP,associative relations,0,0,1,0,0
243,GOLD    _,multiword expressions,0,0,0,0,0
244,ARMY RANKS,semantic relations,1,0,0,1,1
245,PLACE TO PLUG SOMETHING IN,semantic relations,1,1,0,0,0
246,"CONSUMER DESIRE, COLLECTIVELY",semantic relations,0,0,0,0,0
247,_ AD,multiword expressions,0,0,0,0,0
248,"DIVULGE, AS PRIVATE INFORMATION",semantic relations,0,0,0,0,0
249,DIVIDE,semantic relations,0,0,0,0,0
250,"SILENT ""K",phonology,0,0,0,0,0
251,"KEY TO SUCCESS, SO TO SPEAK",semantic relations,0,0,0,0,0
252,SORE TO THE TOUCH,semantic relations,0,0,1,0,1
253,RESTAURANT COURSES,semantic relations,1,1,1,1,0
254,ANIMAL HOMOPHONES,word meaning + word form,0,0,0,0,0
255,RED    _,multiword expressions,0,0,0,0,0
256,SETTLE DOWN!,semantic relations,0,0,0,0,0
257,MINOR AILMENTS,semantic relations,0,0,0,0,0
258,WHAT HUMPBACK WHALES DO,associative relations,0,0,0,0,0
259,_ CITY NICKNAMES,word meaning + word form,0,0,0,0,0
260,ONE THING AFTER ANOTHER,associative relations,0,0,0,0,0
261,KINDS OF GOLF CLUBS,semantic relations,1,1,0,1,0
262,"HORROR MOVIES, WITH ""THE",word meaning + word form,0,0,0,0,0
263,WORDS FOR SAUSAGE,semantic relations,0,0,0,0,0
264,AMUSEMENT PARK RIDES,encyclopedic,1,1,1,0,1
265,APPROVAL,semantic relations,1,1,1,1,0
266,TYPES OF COME-FROM-BEHIND STORIES,encyclopedic,0,0,0,0,0
267,BEGINNING WITH SYNONYMS FOR REAR END,word meaning + word form,0,0,0,0,0
268,BITS OF HARDWARE,semantic relations,0,0,0,0,0
269,FISHING GEAR,semantic relations,0,1,1,0,0
270,HAIR SALON FIXTURES,semantic relations,0,0,0,0,0
271,LIGHTNING    _,multiword expressions,0,0,0,0,0
272,POSITIONS IN FAVOR,semantic relations,1,1,0,1,0
273,GO OUT WITH,semantic relations,0,0,0,0,0
274,MULTITUDE,semantic relations,0,0,0,0,0
275,THINGS READ IN DIVINATION,associative relations,0,0,1,0,0
276,REMOTE CONTROL BUTTONS,semantic relations,0,0,0,0,0
277,HIDE FROM VIEW,semantic relations,0,0,0,0,0
278,DRINK GARNISHES,semantic relations,0,0,0,0,0
279,FIRST WORD IN BOND MOVIE TITLES,word meaning + word form,1,0,0,0,0
280,"DELIVER, AS A PACKAGE",semantic relations,1,1,1,0,1
281,KINDS OF LIP MAKEUP,semantic relations,1,1,0,0,0
282,PREDICAMENT,semantic relations,0,0,0,0,0
283,MEASURED IN DEGREES,associative relations,0,0,0,0,0
284,CURRENT SITUATION,semantic relations,0,0,0,0,0
285,REMOTE RURAL AREA,semantic relations,0,0,0,0,0
286,CLASSIC LAWN ORNAMENTS,semantic relations,0,0,0,0,0
287,_ TALE,multiword expressions,0,1,0,0,0
288,BASKETBALL SHOTS,semantic relations,1,0,0,0,1
289,FISH,semantic relations,1,0,0,0,0
290,QUALITIES OF THICK HAIR,semantic relations,0,0,0,0,0
291,_ CHILD,multiword expressions,0,0,0,0,0
292,WRITING ASSIGNMENTS,semantic relations,1,0,1,0,0
293,THINGS THAT ARE PINK,associative relations,0,0,0,0,0
294,NATO PHONETIC ALPHABET,encyclopedic,1,0,0,0,0
295,ASSOCIATED WITH #2,encyclopedic,0,0,0,0,0
296,ENJOY,semantic relations,0,0,1,0,0
297,BLOCKBUSTER,semantic relations,0,0,0,0,0
298,CAMPAIGN SWAG,semantic relations,0,0,0,1,1
299,"WORDS AFTER ""COPY",multiword expressions,0,0,0,0,0
300,PLACES IN NEW YORK CITY,encyclopedic,0,0,0,0,0
301,RHYMING TITLES,phonology,0,0,0,0,0
302,ENDING IN UNITS OF MEASUREMENT,word meaning + word form,0,0,0,0,0
303,STARTING WITH ANIMALS,word meaning + word form,0,0,0,0,0
304,HOMOPHONES,phonology,0,0,0,0,0
305,"MUSCLES, INFORMALLY",semantic relations,0,0,0,0,0
306,MUSIC GENRES,semantic relations,1,0,1,0,0
307,SETTINGS ON AN APPLIANCE KNOB,semantic relations,0,0,0,0,0
308,CORE,semantic relations,0,0,0,1,1
309,COMPLICATED,semantic relations,1,1,1,1,1
310,SYMBOLS USED IN MAKING LISTS,semantic relations,0,0,0,0,0
311,"WHAT ""CROSS"" MIGHT MEAN",semantic relations,0,0,0,0,0
312,FEELING SOME TYPE OF WAY,semantic relations,0,0,0,0,0
313,THROW HERE AND THERE,semantic relations,1,0,1,0,0
314,THINGS WITH LAYERS,associative relations,0,0,0,0,0
315,_ POTATO,multiword expressions,0,0,0,0,0
316,GRAB ONE'S ATTENTION,semantic relations,0,0,0,0,0
317,DOCUMENT WITH VIDEO,semantic relations,0,0,0,0,0
318,ANAGRAMS,orthography,0,0,0,0,0
319,PRETTY    _,multiword expressions,0,0,0,0,0
320,DREAM UP,semantic relations,0,0,1,1,0
321,THIN COVERING,semantic relations,0,0,0,0,0
322,"REMOVE, AS CRUMBS",semantic relations,0,1,0,0,0
323,VERBS FOR A SOFTWARE ENGINEER,semantic relations,0,1,1,0,0
324,MOVE TO ACTION,semantic relations,0,0,0,0,0
325,UNO CARDS,semantic relations,0,0,0,0,0
326,HAIL SIZE COMPARISONS,semantic relations,1,0,0,0,0
327,PLACES WITH BENCHES,associative relations,0,0,0,0,0
328,AWESOME!,semantic relations,0,0,0,0,0
329,VARIETY,semantic relations,0,1,0,0,0
330,GIST,semantic relations,0,0,0,0,0
331,"FRIED APPETIZER, INFORMALLY",semantic relations,0,0,0,0,0
332,"TAKE HOME, AS INCOME",semantic relations,0,1,0,0,0
333,PARTS OF A WIZARD COSTUME,semantic relations,0,0,0,0,0
334,FOUND ON A SHIP,semantic relations,0,1,1,0,1
335,C- _,multiword expressions,0,0,0,0,0
336,"REMOVE, AS BODY HAIR",semantic relations,0,0,0,0,0
337,TWIST AROUND,semantic relations,0,0,0,0,0
338,THINGS MADE OF CELLS,associative relations,0,0,0,0,0
339,B- _,multiword expressions,0,0,0,0,0
340,CONFORMISTS,semantic relations,0,0,1,0,0
341,COMPANY OWNERSHIP OFFERS,semantic relations,1,1,1,1,0
342,U.S. CITIES,encyclopedic,1,0,0,0,0
343,"WHAT ""DIGS"" MIGHT MEAN",semantic relations,0,0,0,0,0
344,DON'T DELAY!,semantic relations,1,1,1,0,0
345,OCEAN PHENOMENA,semantic relations,1,0,1,0,1
346,DUMBBELL EXERCISES,semantic relations,0,0,0,0,0
347,PHILOSOPHER HOMOPHONES,word meaning + word form,0,0,0,0,0
348,CORPUS,semantic relations,1,0,0,0,0
349,MOUNT    _,multiword expressions,1,0,0,0,0
350,COMPONENTS OF AN LP,semantic relations,1,0,0,0,0
351,THINGS PEOPLE SHAKE,associative relations,0,0,0,0,0
352,PLUNDER,semantic relations,1,1,0,1,0
353,INFLUENCE,semantic relations,1,1,0,0,0
354,HAIRSTYLES,semantic relations,1,0,0,1,0
355,_ PIN,multiword expressions,1,0,0,0,0
356,FOOD,semantic relations,1,0,0,0,0
357,PILOT,semantic relations,1,0,0,0,0
358,INTIMIDATE,semantic relations,0,0,0,0,0
359,_ MARKET,multiword expressions,0,1,0,0,0
360,AMENABLE,semantic relations,0,0,0,1,0
361,ANAGRAMS,orthography,1,1,0,0,0
362,SPELLING BEE RANKS,semantic relations,0,0,0,0,0
363,ADJECTIVES FOR A CANDLE,semantic relations,0,0,0,0,0
364,AGENCY IN DECISIONMAKING,semantic relations,0,0,0,0,0
365,DOG COMMANDS,semantic relations,0,0,0,0,0
366,KINDS OF NOTES,semantic relations,0,0,0,0,0
367,_ IRON,multiword expressions,0,0,0,0,0
368,FOUND ON A STOVE TOP,semantic relations,1,1,1,0,1
369,ORNAMENTAL BORDER,semantic relations,1,1,0,0,0
370,"DEPOSIT, WITH ""DOWN",word meaning + word form,1,1,0,1,1
371,WORDS THAT SOUNDS LIKE PLURAL LETTERS,phonology,1,0,0,0,0
372,ADVERTISING FORMAT,semantic relations,1,0,0,1,1
373,INAUGURAL,semantic relations,1,0,0,1,1
374,ADVOCATE FOR,semantic relations,1,0,0,1,1
375,"PRONOUN PLUS ""E",word meaning + word form,0,0,0,0,0
376,CONDUITS FOR WATER REMOVAL,semantic relations,1,1,1,0,1
377,FOOD PRODUCTS ASSOCIATED WITH SENTIMENTALITY,semantic relations,0,0,0,0,0
378,THINGS TO CRACK,associative relations,0,0,0,0,0
379,_ CHANGE,multiword expressions,0,0,0,0,0
380,TAKE ADVANTAGE OF,semantic relations,0,0,0,0,0
381,"FINISHED, AS TIME",semantic relations,0,0,1,0,0
382,NEWSPAPER DESKS,semantic relations,0,0,0,0,0
383,WORDS BEGINNING WITH GREETINGS,word meaning + word form,0,0,0,0,0
384,"BODY PARTS IN ""HEAD, SHOULDERS, KNEES AND TOES",semantic relations,1,1,1,0,1
385,"CAR, INFORMALLY",semantic relations,0,1,1,0,0
386,REMOVES THE COVERING OF,semantic relations,1,1,0,1,0
387,"BUZZY"" THINGS",associative relations,0,0,0,0,0
388,SMIDGEN,semantic relations,0,1,0,1,0
389,BARGAIN,semantic relations,0,1,0,0,0
390,BILLIARDS EQUIPMENT,semantic relations,0,0,1,0,1
391,_BOOK (THAT'S NOT A BOOK),multiword expressions,0,0,0,0,0
392,SORCERER'S OUTPUT,semantic relations,1,1,1,0,1
393,ONE BEING MANIPULATED,semantic relations,0,0,0,0,0
394,CLASSIC SUPERHERO WEAR,semantic relations,0,1,1,0,1
395,ACTION MOVIE DIRECTORS,encyclopedic,0,0,0,0,0
396,AFFLUENT,semantic relations,1,1,0,1,0
397,CUT INTO PIECES,semantic relations,0,0,0,0,0
398,OLD-FASHIONED,semantic relations,0,0,0,0,0
399,FRUIT HOMOPHONES,phonology,0,0,0,0,0
400,ANIMALS WHOSE NAMES ARE TWO ANIMALS,word meaning + word form,0,1,0,0,0
401,SHARP TURNS,associative relations,1,0,0,1,0
402,CLASSIC PARTY GAMES,semantic relations,0,1,0,0,0
403,THINGS WITH SPRING/S,semantic relations,0,1,0,1,0
404,CORRUPT,semantic relations,0,0,0,0,0
405,REACH OUT TO,semantic relations,0,0,0,1,1
406,CLASSIC STILL LIFE COMPONENTS,semantic relations,0,0,0,0,0
407,BEER    _,multiword expressions,0,0,0,0,0
408,PHOTO,semantic relations,1,0,0,0,1
409,"ASSURE, AS A VICTORY",semantic relations,0,0,0,0,0
410,MOVE IN AN EFFORTLESS WAY,semantic relations,1,0,0,0,0
411,_ BLANKET,multiword expressions,0,0,0,0,0
412,BIT OF LEGISLATION,semantic relations,0,0,0,0,0
413,GRASSLAND,semantic relations,1,1,1,1,1
414,FORTHRIGHT,semantic relations,1,1,0,1,0
415,CAR COMPANIES MINUS LETTER,word meaning + word form,0,0,0,0,0
416,EARLY ITERATION,semantic relations,1,1,1,0,1
417,ENJOY A MEAL,semantic relations,1,1,0,0,1
418,SPANISH PRONOUNS,encyclopedic,0,0,0,0,0
419,SLIM    _,multiword expressions,0,0,0,0,0
420,FASHION DESIGNER'S OUTPUT,semantic relations,0,0,1,0,0
421,PLAYGROUND VERBS,semantic relations,0,0,0,0,0
422,LOONEY TUNES FIGURES,encyclopedic,0,0,0,0,0
423,HOMOPHONES OF MUSICALS,word meaning + word form,0,0,0,0,0
424,PLAYFULLY POKE FUN AT,semantic relations,0,0,0,0,0
425,CUTS OF BEEF,semantic relations,0,0,0,0,0
426,ACRONYMS,encyclopedic,0,0,0,0,0
427,COCKTAILS MINUS PLACE NAMES,word meaning + word form,0,0,0,0,0
428,ONE WITH TOP BILLING,semantic relations,0,0,0,0,0
429,VAMPIRE VULNERABILITIES,semantic relations,0,0,0,0,0
430,"SATIRICAL PUBLICATIONS, FAMILIARLY",semantic relations,0,0,0,0,0
431,CLUB    _,multiword expressions,0,0,0,0,0
432,CHUTZPAH,semantic relations,0,0,0,0,0
433,ACCESSORIES FOR DOG WALKING,associative relations,0,0,0,0,0
434,THINGS THAT SPIN,associative relations,0,0,0,1,1
435,LEAD SINGERS OF '70S ROCK BANDS,encyclopedic,0,0,0,0,0
436,CONTAINER CLOSURES,semantic relations,0,0,1,0,1
437,DURATION,semantic relations,1,1,0,0,0
438,REGULATE,semantic relations,0,1,0,0,0
439,TRADEMARKS OF A PLATYPUS,encyclopedic,0,0,0,0,0
440,SHADES OF RED,semantic relations,0,0,0,1,0
441,LITTLE BIT OF A BEVERAGE,semantic relations,0,0,0,0,0
442,CHOICEST,semantic relations,0,0,0,0,0
443,_ BATH,multiword expressions,0,0,0,0,0
444,DELI BREAD OPTIONS,semantic relations,0,1,0,0,0
445,SLANG FOR MOUTH,semantic relations,0,0,0,1,0
