 ,Connections Categories,Words in Category,Gemini,Claude,GPT4o,Llama,Type of Reasoning
17.0,WAGER,"['BET', 'GAMBLE', 'RISK', 'STAKE']",1,1,1,0.0,Semantic Knowledge
18.0,DISNEYLAND LANDS,"['ADVENTURE', 'FANTASY', 'FRONTIER', 'TOMORROW']",0,0,0,0.0,Encyclopedic Knowledge
19.0,___ BAT,"['BASEBALL', 'CRICKET', 'FRUIT', 'VAMPIRE']",0,0,0,0.0,Multiword Expressions
20.0,PROPEL INTO THE AIR,"['HOP', 'JUMP', 'LEAP', 'SPRING']",1,0,1,1.0,Semantic Knowledge
21.0,PLACE TO STORE VALUABLES,"['CHEST', 'COFFER', 'SAFE', 'VAULT']",1,0,1,1.0,Semantic Knowledge
22.0,PERIOD,"['AGE', 'DAY', 'ERA', 'TIME']",1,0,1,1.0,Semantic Knowledge
23.0,ANIMALS BACKWARD,"['DRIB', 'FLOW', 'REED', 'TANG']",0,0,0,0.0,Linguistic Knowledge
24.0,"CHEESES, FAMILIARLY","['AMERICAN', 'BLUE', 'JACK', 'SWISS']",0,0,0,0.0,Semantic Knowledge
25.0,TRACK AND FIELD EQUIPMENT,"['HAMMER', 'HURDLE', 'JAVELIN', 'POLE']",0,0,1,0.0,Semantic Knowledge
26.0,KINDS OF HEELS,"['CUBAN', 'KITTEN', 'STILETTO', 'WEDGE']",0,0,0,0.0,Semantic Knowledge
27.0,DOUBLE ___,"['DATE', 'DUTCH', 'JEOPARDY', 'SPACE']",0,0,0,0.0,Multiword Expressions
28.0,'80S FASHION TRENDS,"['HEADBAND', 'MULLET', 'NEON', 'SPANDEX']",0,0,0,0.0,Encyclopedic Knowledge
29.0,GYMNASTICS POSITIONS,"['PIKE', 'SPLIT', 'STRADDLE', 'TUCK']",0,0,0,0.0,Semantic Knowledge
30.0,KINDS OF CRACKERS,"['ANIMAL', 'GOLDFISH', 'OYSTER', 'RITZ']",0,0,0,0.0,Encyclopedic Knowledge
31.0,___ LADDER,"['CORPORATE', 'ROPE', 'SALMON', 'WORD']",0,0,0,0.0,Multiword Expressions
32.0,BASIC TASTES,"['BITTER', 'SALTY', 'SOUR', 'SWEET']",1,0,1,1.0,Semantic Knowledge
33.0,"STAND UP TO, AS A CHALLENGE","['BRAVE', 'CONFRONT', 'FACE', 'MEET']",0,0,0,0.0,Semantic Knowledge
34.0,ILK,"['KIND', 'SORT', 'TYPE', 'VARIETY']",0,0,0,0.0,Semantic Knowledge
35.0,"ART MOVEMENTS, WITH -ISM","['EXPRESSION', 'MANNER', 'ROMANTIC', 'SURREAL']",0,0,0,0.0,Encyclopedic Knowledge
36.0,WALK HEAVILY,"['LUMBER', 'PLOD', 'STOMP', 'TRUDGE']",1,1,0,0.0,Semantic Knowledge
37.0,FLEXIBLE,"['ELASTIC', 'LIMBER', 'PLASTIC', 'SUPPLE']",0,0,0,0.0,Semantic Knowledge
38.0,FENCING EQUIPMENT,"['FOIL', 'GLOVE', 'JACKET', 'MASK']",0,0,0,0.0,Semantic Knowledge
39.0,WORDS BEGINNING WITH INSTRUMENTS,"['BASSINET', 'CELLOPHANE', 'HARPOON', 'ORGANISM']",0,0,0,0.0,Linguistic Knowledge
40.0,MANUFACTURING LOCATIONS,"['FACTORY', 'MILL', 'PLANT', 'SHOP']",0,0,1,0.0,Semantic Knowledge
41.0,WIN + LETTER,"['WIND', 'WINE', 'WING', 'WINK']",0,0,0,0.0,Linguistic Knowledge
42.0,PARTS OF FRUIT YOU MIGHT NOT EAT,"['CORE', 'RIND', 'SEED', 'STEM']",0,0,0,0.0,Semantic Knowledge
43.0,WEIGHTS IN BOXING,"['FEATHER', 'HEAVY', 'LIGHT', 'MIDDLE']",0,0,0,0.0,Semantic Knowledge
44.0,PROCESSION,"['CARAVAN', 'FLEET', 'PARADE', 'TRAIN']",1,0,1,0.0,Semantic Knowledge
45.0,SHADES OF GREEN,"['OLIVE', 'FOREST', 'LIME', 'MINT']",1,1,0,0.0,Semantic Knowledge
46.0,WHAT “BLUE” MIGHT MEAN,"['DEMOCRATIC', 'EROTIC', 'NOBLE', 'SAD']",0,0,0,0.0,Semantic Knowledge
47.0,THINGS WITH SPINES,"['BOOK', 'CACTUS', 'HEDGEHOG', 'SKELETON']",0,0,0,0.0,Associative Knowledge
48.0,DOG SOUNDS,"['BARK', 'GROWL', 'HOWL', 'WHINE']",1,0,1,1.0,Semantic Knowledge
49.0,DEPARTMENT,"['ARM', 'BRANCH', 'CHAPTER', 'WING']",0,0,0,0.0,Semantic Knowledge
50.0,ORIGIN,"['CRADLE', 'FONT', 'ROOT', 'SOURCE']",0,0,0,0.0,Associative Knowledge
51.0,COLORS WITH THEIR FIRST LETTERS CHANGED,"['CLUE', 'FROWN', 'MELLOW', 'PREEN']",0,0,0,0.0,Linguistic Knowledge
52.0,PESTERS,"['BADGERS', 'BUGS', 'HOUNDS', 'NAGS']",0,0,0,0.0,Semantic Knowledge
53.0,TONY WINNERS FOR BEST MUSICAL,"['ANNIE', 'CABARET', 'CATS', 'COMPANY']",0,0,1,0.0,Encyclopedic Knowledge
54.0,THEY HAVE KEYS,"['COMPUTER', 'PIANO', 'SUPER', 'TESTS']",0,0,0,0.0,Associative Knowledge
55.0,SCHOOL OF ___,"['FISH', 'HARD KNOCKS', 'ROCK', 'THOUGHT']",0,0,0,0.0,Multiword Expressions
56.0,PARTY POOPER,"['BORE', 'DRAG', 'DRIP', 'DUD']",0,0,0,0.0,Semantic Knowledge
57.0,MUSICAL SECTIONS,"['BRASS', 'RHYTHM', 'STRING', 'WIND']",0,0,0,0.0,Encyclopedic Knowledge
58.0,BIT OF LIQUID,"['BEAD', 'DROP', 'GLOB', 'TEAR']",0,0,0,0.0,Semantic Knowledge
59.0,VEGETABLE HOMOPHONES,"['BEAT', 'CHARRED', 'LEAK', 'PEE']",0,0,0,0.0,Combined Category
60.0,USED IN BUILDING A FIRE,"['KINDLING', 'LOG', 'MATCH', 'TINDER']",0,0,0,0.0,Associative Knowledge
61.0,MESS UP,"['BLOW', 'BUMBLE', 'FLUFF', 'SPOIL']",0,0,0,0.0,Semantic Knowledge
62.0,WORKSHOP TOOLS,"['DRILL', 'GRINDER', 'ROUTER', 'SAW']",0,1,1,1.0,Semantic Knowledge
63.0,PARTS OF A DOOR,"['FRAME', 'HANDLE', 'HINGE', 'LOCK']",0,1,0,0.0,Semantic Knowledge
64.0,EAT A LITTLE,"['GRAZE', 'NIBBLE', 'PECK', 'SNACK']",0,0,1,1.0,Semantic Knowledge
65.0,PURSUE,"['HUNT', 'TRACK', 'TRAIL', 'STALK']",0,0,1,0.0,Semantic Knowledge
66.0,INGREDIENTS IN MINESTRONE,"['BEANS', 'PASTA', 'STOCK', 'VEGETABLES']",0,0,0,0.0,Encyclopedic Knowledge
67.0,___CAST,"['BROAD', 'FORE', 'POD', 'TYPE']",0,0,0,0.0,Multiword Expressions
68.0,BIT OF HAIR,"['CURL', 'LOCK', 'RINGLET', 'TRESS']",0,1,1,0.0,Semantic Knowledge
69.0,MEDIA ATTENTION,"['COVERAGE', 'EXPOSURE', 'PRESS', 'PUBLICITY']",1,0,1,0.0,Semantic Knowledge
70.0,NOUN SUFFIXES,"['DOM', 'ION', 'NESS', 'SHIP']",1,1,0,0.0,Linguistic Knowledge
71.0,___ CIRCUS,"['FAMILY', 'FLEA', 'FLYING', 'MEDIA']",0,0,0,0.0,Multiword Expressions
72.0,COMFY SHOES,"['CROC', 'LOAFER', 'MOCCASIN', 'SLIPPER']",1,1,1,1.0,Semantic Knowledge
73.0,THINGS MADE WITH FEATHERS,"['BOA', 'HEADDRESS', 'PILLOW', 'SHUTTLECOCK']",0,0,0,0.0,Associative Knowledge
74.0,PROGRAMMING LANGUAGES,"['BASIC', 'JAVA', 'PYTHON', 'RUBY']",0,1,1,1.0,Encyclopedic Knowledge
75.0,THINGS THAT CAN STRIKE,"['COBRA', 'INSPIRATION', 'LIGHTNING', 'UNION']",0,0,0,0.0,Associative Knowledge
76.0,FOLLOW ATTENTIVELY,"['MONITOR', 'SURVEY', 'TRACK', 'WATCH']",0,0,0,0.0,Semantic Knowledge
77.0,WHERE YOU MIGHT FIND SAND,"['BEACH', 'DESERT', 'HOURGLASS', 'PLAYGROUND']",0,0,0,0.0,Associative Knowledge
78.0,OVEN BUTTONS,"['BAKE', 'BROIL', 'LIGHT', 'TIMER']",0,0,0,0.0,Associative Knowledge
79.0,BRITPOP BANDS,"['BLUR', 'OASIS', 'PULP', 'SUEDE']",0,0,0,0.0,Encyclopedic Knowledge
80.0,TOUCH LIGHTLY,"['BRUSH', 'GRAZE', 'KISS', 'SKIM']",0,1,0,0.0,Semantic Knowledge
81.0,KINDS OF NUMBERS,"['ODD', 'PERFECT', 'PRIME', 'WHOLE']",0,0,0,1.0,Semantic Knowledge
82.0,SAUCES IN CHINESE CUISINE,"['OYSTER', 'PLUM', 'SOY', 'XO']",0,0,0,0.0,Encyclopedic Knowledge
83.0,BEAR ___,"['CLAW', 'FRUIT', 'HUG', 'WITNESS']",0,0,0,0.0,Multiword Expressions
84.0,"ENCOURAGE, WITH ""ON""","['EGG', 'GOAD', 'SPUR', 'URGE']",0,0,0,0.0,Linguistic Knowledge
85.0,SPHERICAL FOODS,"['JAWBREAKER', 'MEATBALL', 'MOZZARELLA', 'ORANGE']",0,0,0,0.0,Associative Knowledge
86.0,GROCERY STORE AISLES,"['DAIRY', 'FROZEN', 'PRODUCE', 'SNACK']",0,0,0,0.0,Associative Knowledge
87.0,GO ___,"['BANANAS', 'FIGURE', 'FISH', 'STEADY']",0,0,0,0.0,Multiword Expressions
88.0,BAD THINGS FOR A VIDEO CALL TO DO,"['DROP', 'ECHO', 'FREEZE', 'LAG']",0,0,0,0.0,Associative Knowledge
89.0,COSTUMES WITH STRIPED SHIRTS,"['MIME', 'PRISONER', 'REFEREE', 'SAILOR']",0,0,0,0.0,Associative Knowledge
90.0,SEEN IN “ALADDIN”,"['GENIE', 'MONKEY', 'PARROT', 'PRINCESS']",0,0,0,1.0,Encyclopedic Knowledge
91.0,MOVIES MINUS NUMBERS,"['APOLLO', 'CANDLES', 'FANTASTIC', 'SAMURAI']",0,0,0,0.0,Encyclopedic Knowledge
92.0,MONOTONOUS SOUNDS,"['BUZZ', 'DRONE', 'HUM', 'PURR']",0,1,1,1.0,Semantic Knowledge
93.0,BOATS,"['BARGE', 'DORY', 'SCOW', 'SLOOP']",0,0,1,1.0,Semantic Knowledge
94.0,CAPTAINS,"['AMERICA', 'HOOK', 'MORGAN', 'NEMO']",0,0,0,0.0,Encyclopedic Knowledge
95.0,PREFIXES WITH -CRACY,"['AUTO', 'BUREAU', 'DEMO', 'PLUTO']",0,0,0,0.0,Linguistic Knowledge
96.0,STOOL PIGEON,"['CANARY', 'FINK', 'RAT', 'SNITCH']",0,1,0,0.0,Semantic Knowledge
97.0,CRAM INTO A TIGHT SPACE,"['JAM', 'PACK', 'SQUEEZE', 'STUFF']",0,1,1,0.0,Semantic Knowledge
98.0,YOGA POSES,"['CAT', 'COW', 'MOUNTAIN', 'TRIANGLE']",0,0,0,0.0,Associative Knowledge
99.0,___FLY,"['BUTTER', 'DRAGON', 'FIRE', 'HORSE']",0,0,0,0.0,Multiword Expressions
100.0,MUSIC PLAYER BUTTONS,"['REWIND', 'SHUFFLE', 'SKIP', 'STOP']",0,0,1,0.0,Associative Knowledge
101.0,BROADCAST,"['AIR', 'RUN', 'SCREEN', 'SHOW']",0,0,0,0.0,Associative Knowledge
102.0,THINGS YOU CAN DRAW,"['BATH', 'CARD', 'CURTAIN', 'PICTURE']",0,0,0,0.0,Associative Knowledge
103.0,NUMBER ANAGRAMS,"['EON', 'ETHER', 'NET', 'TOW']",0,0,0,0.0,Linguistic Knowledge
104.0,ARCHERY EQUIPMENT,"['ARROW', 'BOW', 'QUIVER', 'TARGET']",0,1,1,1.0,Semantic Knowledge
105.0,CARD GAMES,"['BRIDGE', 'GIN', 'SPIT', 'WAR']",0,0,0,0.0,Encyclopedic Knowledge
106.0,WALLOP,"['BELT', 'CLOCK', 'DECK', 'SLUG']",0,0,0,0.0,Semantic Knowledge
107.0,CLASSIC TATTOOS,"['ANCHOR', 'DRAGON', 'HEART', 'ROSE']",0,0,0,0.0,Associative Knowledge
108.0,SEA CREATURES,"['CRAB', 'RAY', 'SPONGE', 'SQUID']",0,0,1,1.0,Semantic Knowledge
109.0,BASIC TWO-DIMENSIONAL SHAPES,"['CIRCLE', 'DIAMOND', 'SQUARE', 'TRIANGLE']",1,1,1,1.0,Semantic Knowledge
110.0,BOXING MANEUVERS,"['BOB', 'CROSS', 'HOOK', 'WEAVE']",0,0,0,0.0,Encyclopedic Knowledge
111.0,FANCY ___,"['FEAST', 'FREE', 'PANTS', 'THAT']",0,0,0,0.0,Multiword Expressions
112.0,"OSTENTATIOUS, AS AN OUTFIT","['BRIGHT', 'FLASHY', 'GARISH', 'LOUD']",0,0,0,0.0,Associative Knowledge
113.0,EUPHEMISMS FOR FLATULENCE,"['GAS', 'STINKER', 'TOOT', 'WIND']",0,0,0,0.0,Associative Knowledge
114.0,KINDS OF BLOND,"['DIRTY', 'HONEY', 'PLATINUM', 'STRAWBERRY']",0,0,0,0.0,Associative Knowledge
115.0,WHAT “O” MIGHT MEAN,"['HUG', 'OF', 'OXYGEN', 'ZERO']",0,0,0,0.0,Encyclopedic Knowledge
116.0,"""GIVE ME A BREAK!""","['BROTHER', 'LORD', 'PLEASE', 'SHEESH']",0,0,0,0.0,Semantic Knowledge
117.0,ECCLESIASTICAL TITLES,"['BISHOP', 'CARDINAL', 'PASTOR', 'PRIOR']",0,0,0,0.0,Semantic Knowledge
118.0,ROCK & ROLL HALL OF FAME INDUCTEES,"['HEART', 'MADONNA', 'PRINCE', 'QUEEN']",0,0,0,0.0,Encyclopedic Knowledge
119.0,CITY HOMOPHONES,"['DELI', 'NIECE', 'ROAM', 'SOUL']",0,0,0,0.0,Combined Category
120.0,DRINKS WITH CAFFEINE,"['COCOA', 'COFFEE', 'MATE', 'TEA']",1,0,1,0.0,Semantic Knowledge
121.0,UNEXCITING,"['BORING', 'DULL', 'MUNDANE', 'VANILLA']",0,0,0,0.0,Semantic Knowledge
122.0,COMEDIAN’S PERFORMANCE,"['ACT', 'BIT', 'ROUTINE', 'SET']",0,0,0,0.0,Associative Knowledge
123.0,MARTINI SPECIFICATIONS,"['DIRTY', 'DRY', 'TWIST', 'UP']",0,0,0,0.0,Encyclopedic Knowledge
124.0,COMMERCIAL ORGANIZATION,"['AGENCY', 'COMPANY', 'ENTERPRISE', 'FIRM']",0,1,1,1.0,Semantic Knowledge
125.0,FARM FIXTURES,"['COOP', 'PEN', 'STABLE', 'STY']",0,1,1,1.0,Associative Knowledge
126.0,CLASSIC DOG NAMES,"['FLUFFY', 'REX', 'ROVER', 'SPOT']",0,0,1,0.0,Associative Knowledge
127.0,COLORS MINUS THEIR FIRST LETTERS,"['INK', 'LACK', 'OLD', 'RANGE']",0,0,0,0.0,Combined Category
128.0,TIME OFF,"['BREAK', 'HOLIDAY', 'LEAVE', 'RECESS']",0,1,1,1.0,Semantic Knowledge
129.0,FEATURES OF A BELT,"['BUCKLE', 'HOLE', 'LOOP', 'STRAP']",0,0,0,0.0,Semantic Knowledge
130.0,HOMOPHONES,"['HOLEY', 'HOLI', 'HOLY', 'WHOLLY']",0,1,0,0.0,Linguistic Knowledge
131.0,___WOOD,"['DOG', 'DRIFT', 'HOLLY', 'SANDAL']",0,0,0,0.0,Multiword Expressions
132.0,MAKE SHORTER,"['CLIP', 'CUT', 'PARE', 'TRIM']",0,1,1,0.0,Semantic Knowledge
133.0,MUSCULAR,"['BUILT', 'JACKED', 'RIPPED', 'SWOLE']",0,0,1,0.0,Semantic Knowledge
134.0,ENTHUSIAST,"['BUFF', 'FAN', 'LOVER', 'NUT']",0,0,0,0.0,Associative Knowledge
135.0,WRINKLY THINGS,"['BRAIN', 'PRUNE', 'PUG', 'WALNUT']",0,0,0,0.0,Associative Knowledge
136.0,MERRIMENT,"['CHEER', 'GLEE', 'FESTIVITY', 'MIRTH']",1,0,1,0.0,Semantic Knowledge
137.0,BOOKED FOR A WEDDING,"['BAND', 'CATERER', 'FLORIST', 'OFFICIANT']",0,1,0,0.0,Associative Knowledge
138.0,RHYMES,"['CHOIR', 'FIRE', 'LIAR', 'FRYER']",0,0,0,0.0,Linguistic Knowledge
139.0,___ PIT,"['BARBECUE', 'ORCHESTRA', 'SNAKE', 'TAR']",0,0,0,0.0,Multiword Expressions
140.0,HIT HARD,"['BANG', 'HAMMER', 'POUND', 'SLAM']",1,0,1,0.0,Semantic Knowledge
141.0,NEWSPAPER NAMES,"['CHRONICLE', 'HERALD', 'REGISTER', 'SUN']",0,0,0,0.0,Encyclopedic Knowledge
142.0,CRESCENT-SHAPED THINGS,"['BANANA', 'CROISSANT', 'MOON', 'SICKLE']",0,0,0,0.0,Associative Knowledge
143.0,POWER-UPS IN SUPER MARIO WORLD,"['FEATHER', 'FLOWER', 'MUSHROOM', 'STAR']",0,0,0,0.0,Encyclopedic Knowledge
144.0,DO SOME MARKETING,"['PITCH', 'PLUG', 'PROMOTE', 'PUSH']",1,0,0,0.0,Associative Knowledge
145.0,ROMANTIC TWOSOME,"['COUPLE', 'ITEM', 'PAIR', 'THING']",0,0,0,0.0,Associative Knowledge
146.0,TENNIS SCORES,"['AD', 'ALL', 'DEUCE', 'LOVE']",0,0,0,0.0,Encyclopedic Knowledge
147.0,WORDS WITH “FRUIT”,"['BREAD', 'DRAGON', 'JACK', 'PASSION']",0,0,0,0.0,Combined Category
148.0,HIGHEST POINT,"['CREST', 'PEAK', 'SUMMIT', 'VERTEX']",1,1,1,1.0,Semantic Knowledge
149.0,“CAN I GET YOUR ___?” (PHONE INFO REQUEST),"['CELL', 'CONTACT', 'DIGITS', 'NUMBER']",0,0,0,1.0,Associative Knowledge
150.0,MODIFIERS MEANING “SMALL”,"['BABY', 'MINI', 'POCKET', 'TOY']",0,0,1,1.0,Semantic Knowledge
151.0,INSIDE A SCRABBLE BOX,"['BAG', 'BOARD', 'RACKS', 'TILES']",0,0,1,1.0,Encyclopedic Knowledge
152.0,HURT,"['ACHE', 'BURN', 'SMART', 'STING']",0,0,1,0.0,Semantic Knowledge
153.0,LOOK AFTER,"['GUARD', 'MIND', 'TEND', 'WATCH']",0,0,0,0.0,Semantic Knowledge
154.0,SOUGHT AFTER IN “THE WIZARD OF OZ”,"['BRAIN', 'COURAGE', 'HEART', 'HOME']",0,0,0,0.0,Encyclopedic Knowledge
155.0,SILENT “W”,"['ANSWER', 'TWO', 'WRIST', 'WRONG']",0,0,0,0.0,Linguistic Knowledge
156.0,BASEBALL EQUIPMENT,"['BALL', 'BASE', 'BAT', 'GLOVE']",0,0,0,0.0,Semantic Knowledge
157.0,HARD HIT,"['BLOW', 'LICK', 'SOCK', 'STRIKE']",0,0,0,0.0,Semantic Knowledge
158.0,ORIGINAL MONOPOLY TOKENS,"['BOOT', 'IRON', 'THIMBLE', 'TOP HAT']",0,0,1,0.0,Encyclopedic Knowledge
159.0,___ BUNNY,"['BAD', 'BUGS', 'DUST', 'HONEY']",0,0,0,0.0,Multiword Expressions
160.0,OF-THE-MOMENT,"['BIG', 'HOT', 'IN', 'POPULAR']",0,0,1,0.0,Associative Knowledge
161.0,PICTOGRAPH,"['CHARACTER', 'GLYPH', 'ICON', 'SYMBOL']",1,0,1,0.0,Semantic Knowledge
162.0,"IMPOSE, AS A PENALTY","['ASSESS', 'CHARGE', 'FINE', 'LEVY']",0,0,0,0.0,Semantic Knowledge
163.0,WORDS BEGINNING WITH BODY PARTS,"['HANDSOME', 'HIPPO', 'LEGEND', 'LIPID']",0,0,0,0.0,Linguistic Knowledge
164.0,SMARTPHONE FEATURES BEGINNING WITH “C”,"['CALCULATOR', 'CALENDAR', 'CAMERA', 'CLOCK']",0,0,0,0.0,Semantic Knowledge
165.0,PARTS OF THE EYE,"['CONE', 'IRIS', 'LENS', 'PUPIL']",0,0,0,0.0,Semantic Knowledge
166.0,FAMILIAL NICKNAMES,"['DADA', 'GRAMMY', 'MUM', 'POPPY']",0,0,0,0.0,Semantic Knowledge
167.0,WORDS PRONOUNCED DIFFERENTLY WITH ACCENT MARKS,"['EXPOSE', 'PATE', 'RESUME', 'ROSE']",0,0,0,0.0,Linguistic Knowledge
168.0,BRING INTO BEING,"['COIN', 'CREATE', 'DEVISE', 'INVENT']",0,0,0,0.0,Semantic Knowledge
169.0,EXCELLENT,"['FINE', 'PRIME', 'QUALITY', 'STERLING']",1,0,0,1.0,Semantic Knowledge
170.0,SYMBOLS ABOVE NUMBERS ON A KEYBOARD,"['AT', 'DOLLAR', 'PERCENT', 'POUND']",0,1,0,0.0,Encyclopedic Knowledge
171.0,PASS THE ___,"['BAR', 'BUCK', 'TIME', 'TORCH']",0,0,0,0.0,Multiword Expressions
172.0,SYMBOLIC RODS,"['BATON', 'SCEPTER', 'STAFF', 'WAND']",0,1,0,0.0,Associative Knowledge
173.0,DENTAL TERMS,"['CAVITY', 'CROWN', 'FILLING', 'PLAQUE']",0,0,1,0.0,Associative Knowledge
174.0,RUBBER STAMP WORDS,"['APPROVED', 'PAID', 'URGENT', 'VOID']",0,0,0,0.0,Encyclopedic Knowledge
175.0,___ YEAR,"['GAP', 'LEAP', 'LIGHT', 'SCHOOL']",0,0,0,0.0,Multiword Expressions
176.0,RIP OFF,"['FLEECE', 'HOSE', 'ROB', 'STIFF']",0,0,0,0.0,Semantic Knowledge
177.0,THINGS MADE OF WAX,"['CANDLE', 'CRAYON', 'HONEYCOMB', 'SEAL']",0,0,1,0.0,Associative Knowledge
178.0,PARTS OF AN AIRPLANE,"['CABIN', 'ENGINE', 'NOSE', 'WING']",0,1,0,0.0,Semantic Knowledge
179.0,UNITS OF VEGETABLES,"['BULB', 'EAR', 'HEAD', 'STALK']",0,0,0,0.0,Associative Knowledge
180.0,DECLINE,"['DIP', 'DROP', 'FALL', 'SINK']",0,0,0,0.0,Semantic Knowledge
181.0,MOVE WITH SPEED,"['BLAZE', 'FLY', 'RACE', 'TEAR']",0,0,0,0.0,Semantic Knowledge
182.0,KINDS OF DANCE,"['MODERN', 'SALSA', 'SWING', 'TAP']",1,0,0,0.0,Semantic Knowledge
183.0,BABY ___,"['BOOM', 'CARROT', 'SHOWER', 'TALK']",0,0,0,0.0,Multiword Expressions
184.0,SUNDAE TOPPINGS,"['CHERRY', 'FUDGE', 'NUTS', 'SPRINKLES']",1,0,0,1.0,Associative Knowledge
185.0,LEAVE HIGH AND DRY,"['DESERT', 'DITCH', 'MAROON', 'STRAND']",0,0,1,0.0,Semantic Knowledge
186.0,“PHOOEY!”,"['CURSES', 'DARN', 'RATS', 'SHOOT']",0,1,0,0.0,Encyclopedic Knowledge
187.0,WORDS IN TONGUE TWISTERS,"['FUZZY', 'PEPPERS', 'SEASHELLS', 'WOODCHUCK']",0,0,0,0.0,Encyclopedic Knowledge
188.0,SHOW OFF,"['GRANDSTAND', 'PEACOCK', 'POSTURE', 'STRUT']",0,0,1,0.0,Semantic Knowledge
189.0,FOREMOST,"['MAIN', 'PARAMOUNT', 'PRIME', 'SUPREME']",1,0,1,0.0,Semantic Knowledge
190.0,COLORS IN BRAZIL’S FLAG,"['BLUE', 'GREEN', 'WHITE', 'YELLOW']",0,0,0,0.0,Encyclopedic Knowledge
191.0,___ LETTER,"['CHAIN', 'COVER', 'LOVE', 'SCARLET']",0,0,0,0.0,Multiword Expressions
192.0,DATA SET DATA,"['MEAN', 'MEDIAN', 'MODE', 'RANGE']",1,0,1,1.0,Associative Knowledge
193.0,CHEMISTRY TERMS,"['BASE', 'BOND', 'ELEMENT', 'SOLUTION']",0,0,0,1.0,Associative Knowledge
194.0,ADJECTIVE INTENSIFIERS,"['AWFUL', 'PRETTY', 'RATHER', 'REAL']",0,0,0,0.0,Linguistic Knowledge
195.0,RADIO HALL OF FAME MEMBERS,"['GLASS', 'GROSS', 'KING', 'STERN']",0,0,0,0.0,Encyclopedic Knowledge
196.0,DECEIVE,"['CON', 'DUPE', 'FOOL', 'TRICK']",0,0,1,0.0,Semantic Knowledge
197.0,INSIDE INFO,"['DOPE', 'SCOOP', 'SKINNY', 'WORD']",0,0,0,0.0,Semantic Knowledge
198.0,TILT TO ONE SIDE,"['CANT', 'LEAN', 'LIST', 'SLOPE']",0,0,0,0.0,Semantic Knowledge
199.0,WORDS SPELLED WITH AN UPSIDE-DOWN CALCULATOR,"['BOOB', 'EGGSHELL', 'GIGGLE', 'HELLO']",0,0,0,0.0,Encyclopedic Knowledge
200.0,LIST OF CANDIDATES,"['BALLOT', 'ROSTER', 'SLATE', 'TICKET']",1,0,1,0.0,Associative Knowledge
201.0,PROTECTIVE BARRIER,"['BUFFER', 'CUSHION', 'PAD', 'SHIELD']",0,0,0,0.0,Semantic Knowledge
202.0,MEDICINE FORMATS,"['CAPSULE', 'CREAM', 'SYRUP', 'TABLET']",0,0,0,1.0,Semantic Knowledge
203.0,PEA ___,"['COAT', 'GREEN', 'POD', 'SOUP']",0,0,0,0.0,Multiword Expressions
204.0,THINGS TO PAY,"['BILL', 'CHECK', 'INVOICE', 'TAB']",1,0,1,1.0,Semantic Knowledge
205.0,THIEVE,"['PINCH', 'ROB', 'STEAL', 'SWIPE']",1,0,1,0.0,Semantic Knowledge
