" ",Connections Categories,Words in Category,Gemini,Claude,GPT4o,Llama3-70B,Type of Reasoning
35,"ART MOVEMENTS, WITH -ISM","['EXPRESSION', 'MANNER', 'ROMANTIC', 'SURREAL']",0,0,0,0,Encyclopedic Knowledge
36,WALK HEAVILY,"['LUMBER', 'PLOD', 'STOMP', 'TRUDGE']",1,1,0,0,Semantic Knowledge
37,FLEXIBLE,"['ELASTIC', 'LIMBER', 'PLASTIC', 'SUPPLE']",0,0,0,0,Semantic Knowledge
38,FENCING EQUIPMENT,"['FOIL', 'GLOVE', 'JACKET', 'MASK']",0,0,0,0,Semantic Knowledge
39,WORDS BEGINNING WITH INSTRUMENTS,"['BASSINET', 'CELLOPHANE', 'HARPOON', 'ORGANISM']",0,0,0,0,Linguistic Knowledge
40,MANUFACTURING LOCATIONS,"['FACTORY', 'MILL', 'PLANT', 'SHOP']",0,0,1,0,Semantic Knowledge
41,WIN + LETTER,"['WIND', 'WINE', 'WING', 'WINK']",0,0,0,0,Linguistic Knowledge
42,PARTS OF FRUIT YOU MIGHT NOT EAT,"['CORE', 'RIND', 'SEED', 'STEM']",0,0,0,0,Semantic Knowledge
43,WEIGHTS IN BOXING,"['FEATHER', 'HEAVY', 'LIGHT', 'MIDDLE']",0,0,0,0,Semantic Knowledge
44,PROCESSION,"['CARAVAN', 'FLEET', 'PARADE', 'TRAIN']",1,0,1,0,Semantic Knowledge
45,SHADES OF GREEN,"['OLIVE', 'FOREST', 'LIME', 'MINT']",1,1,0,0,Semantic Knowledge
46,WHAT “BLUE” MIGHT MEAN,"['DEMOCRATIC', 'EROTIC', 'NOBLE', 'SAD']",0,0,0,0,Semantic Knowledge
47,THINGS WITH SPINES,"['BOOK', 'CACTUS', 'HEDGEHOG', 'SKELETON']",0,0,0,0,Associative Knowledge
48,DOG SOUNDS,"['BARK', 'GROWL', 'HOWL', 'WHINE']",1,0,1,1,Semantic Knowledge
49,DEPARTMENT,"['ARM', 'BRANCH', 'CHAPTER', 'WING']",0,0,0,0,Semantic Knowledge
50,ORIGIN,"['CRADLE', 'FONT', 'ROOT', 'SOURCE']",0,0,0,0,Associative Knowledge
51,COLORS WITH THEIR FIRST LETTERS CHANGED,"['CLUE', 'FROWN', 'MELLOW', 'PREEN']",0,0,0,0,Linguistic Knowledge
52,PESTERS,"['BADGERS', 'BUGS', 'HOUNDS', 'NAGS']",0,0,0,0,Semantic Knowledge
53,TONY WINNERS FOR BEST MUSICAL,"['ANNIE', 'CABARET', 'CATS', 'COMPANY']",0,0,1,0,Encyclopedic Knowledge
54,THEY HAVE KEYS,"['COMPUTER', 'PIANO', 'SUPER', 'TESTS']",0,0,0,0,Associative Knowledge
55,SCHOOL OF ___,"['FISH', 'HARD KNOCKS', 'ROCK', 'THOUGHT']",0,0,0,0,Multiword Expressions
56,PARTY POOPER,"['BORE', 'DRAG', 'DRIP', 'DUD']",0,0,0,0,Semantic Knowledge
57,MUSICAL SECTIONS,"['BRASS', 'RHYTHM', 'STRING', 'WIND']",0,0,0,0,Encyclopedic Knowledge
58,BIT OF LIQUID,"['BEAD', 'DROP', 'GLOB', 'TEAR']",0,0,0,0,Semantic Knowledge
59,VEGETABLE HOMOPHONES,"['BEAT', 'CHARRED', 'LEAK', 'PEE']",0,0,0,0,Combined Category
60,USED IN BUILDING A FIRE,"['KINDLING', 'LOG', 'MATCH', 'TINDER']",0,0,0,0,Associative Knowledge
61,MESS UP,"['BLOW', 'BUMBLE', 'FLUFF', 'SPOIL']",0,0,0,0,Semantic Knowledge
62,WORKSHOP TOOLS,"['DRILL', 'GRINDER', 'ROUTER', 'SAW']",0,1,1,1,Semantic Knowledge
63,PARTS OF A DOOR,"['FRAME', 'HANDLE', 'HINGE', 'LOCK']",0,1,0,0,Semantic Knowledge
64,EAT A LITTLE,"['GRAZE', 'NIBBLE', 'PECK', 'SNACK']",0,0,1,1,Semantic Knowledge
65,PURSUE,"['HUNT', 'TRACK', 'TRAIL', 'STALK']",0,0,1,0,Semantic Knowledge
66,INGREDIENTS IN MINESTRONE,"['BEANS', 'PASTA', 'STOCK', 'VEGETABLES']",0,0,0,0,Encyclopedic Knowledge
67,___CAST,"['BROAD', 'FORE', 'POD', 'TYPE']",0,0,0,0,Multiword Expressions
68,BIT OF HAIR,"['CURL', 'LOCK', 'RINGLET', 'TRESS']",0,1,1,0,Semantic Knowledge
69,MEDIA ATTENTION,"['COVERAGE', 'EXPOSURE', 'PRESS', 'PUBLICITY']",1,0,1,0,Semantic Knowledge
70,NOUN SUFFIXES,"['DOM', 'ION', 'NESS', 'SHIP']",1,1,0,0,Linguistic Knowledge
71,___ CIRCUS,"['FAMILY', 'FLEA', 'FLYING', 'MEDIA']",0,0,0,0,Multiword Expressions
72,COMFY SHOES,"['CROC', 'LOAFER', 'MOCCASIN', 'SLIPPER']",1,1,1,1,Semantic Knowledge
73,THINGS MADE WITH FEATHERS,"['BOA', 'HEADDRESS', 'PILLOW', 'SHUTTLECOCK']",0,0,0,0,Associative Knowledge
74,PROGRAMMING LANGUAGES,"['BASIC', 'JAVA', 'PYTHON', 'RUBY']",0,1,1,1,Encyclopedic Knowledge
75,THINGS THAT CAN STRIKE,"['COBRA', 'INSPIRATION', 'LIGHTNING', 'UNION']",0,0,0,0,Associative Knowledge
76,FOLLOW ATTENTIVELY,"['MONITOR', 'SURVEY', 'TRACK', 'WATCH']",0,0,0,0,Semantic Knowledge
77,WHERE YOU MIGHT FIND SAND,"['BEACH', 'DESERT', 'HOURGLASS', 'PLAYGROUND']",0,0,0,0,Associative Knowledge
78,OVEN BUTTONS,"['BAKE', 'BROIL', 'LIGHT', 'TIMER']",0,0,0,0,Associative Knowledge
79,BRITPOP BANDS,"['BLUR', 'OASIS', 'PULP', 'SUEDE']",0,0,0,0,Encyclopedic Knowledge
80,TOUCH LIGHTLY,"['BRUSH', 'GRAZE', 'KISS', 'SKIM']",0,1,0,0,Semantic Knowledge
81,KINDS OF NUMBERS,"['ODD', 'PERFECT', 'PRIME', 'WHOLE']",0,0,0,1,Semantic Knowledge
82,SAUCES IN CHINESE CUISINE,"['OYSTER', 'PLUM', 'SOY', 'XO']",0,0,0,0,Encyclopedic Knowledge
83,BEAR ___,"['CLAW', 'FRUIT', 'HUG', 'WITNESS']",0,0,0,0,Multiword Expressions
84,"ENCOURAGE, WITH ""ON""","['EGG', 'GOAD', 'SPUR', 'URGE']",0,0,0,0,Linguistic Knowledge
85,SPHERICAL FOODS,"['JAWBREAKER', 'MEATBALL', 'MOZZARELLA', 'ORANGE']",0,0,0,0,Associative Knowledge
86,GROCERY STORE AISLES,"['DAIRY', 'FROZEN', 'PRODUCE', 'SNACK']",0,0,0,0,Associative Knowledge
87,GO ___,"['BANANAS', 'FIGURE', 'FISH', 'STEADY']",0,0,0,0,Multiword Expressions
88,BAD THINGS FOR A VIDEO CALL TO DO,"['DROP', 'ECHO', 'FREEZE', 'LAG']",0,0,0,0,Associative Knowledge
89,COSTUMES WITH STRIPED SHIRTS,"['MIME', 'PRISONER', 'REFEREE', 'SAILOR']",0,0,0,0,Associative Knowledge
90,SEEN IN “ALADDIN”,"['GENIE', 'MONKEY', 'PARROT', 'PRINCESS']",0,0,0,1,Encyclopedic Knowledge
91,MOVIES MINUS NUMBERS,"['APOLLO', 'CANDLES', 'FANTASTIC', 'SAMURAI']",0,0,0,0,Encyclopedic Knowledge
92,MONOTONOUS SOUNDS,"['BUZZ', 'DRONE', 'HUM', 'PURR']",0,1,1,1,Semantic Knowledge
93,BOATS,"['BARGE', 'DORY', 'SCOW', 'SLOOP']",0,0,1,1,Semantic Knowledge
94,CAPTAINS,"['AMERICA', 'HOOK', 'MORGAN', 'NEMO']",0,0,0,0,Encyclopedic Knowledge
95,PREFIXES WITH -CRACY,"['AUTO', 'BUREAU', 'DEMO', 'PLUTO']",0,0,0,0,Linguistic Knowledge
96,STOOL PIGEON,"['CANARY', 'FINK', 'RAT', 'SNITCH']",0,1,0,0,Semantic Knowledge
97,CRAM INTO A TIGHT SPACE,"['JAM', 'PACK', 'SQUEEZE', 'STUFF']",0,1,1,0,Semantic Knowledge
98,YOGA POSES,"['CAT', 'COW', 'MOUNTAIN', 'TRIANGLE']",0,0,0,0,Associative Knowledge
99,___FLY,"['BUTTER', 'DRAGON', 'FIRE', 'HORSE']",0,0,0,0,Multiword Expressions
100,MUSIC PLAYER BUTTONS,"['REWIND', 'SHUFFLE', 'SKIP', 'STOP']",0,0,1,0,Associative Knowledge
101,BROADCAST,"['AIR', 'RUN', 'SCREEN', 'SHOW']",0,0,0,0,Associative Knowledge
102,THINGS YOU CAN DRAW,"['BATH', 'CARD', 'CURTAIN', 'PICTURE']",0,0,0,0,Associative Knowledge
103,NUMBER ANAGRAMS,"['EON', 'ETHER', 'NET', 'TOW']",0,0,0,0,Linguistic Knowledge
104,ARCHERY EQUIPMENT,"['ARROW', 'BOW', 'QUIVER', 'TARGET']",0,1,1,1,Semantic Knowledge
105,CARD GAMES,"['BRIDGE', 'GIN', 'SPIT', 'WAR']",0,0,0,0,Encyclopedic Knowledge
106,WALLOP,"['BELT', 'CLOCK', 'DECK', 'SLUG']",0,0,0,0,Semantic Knowledge
107,CLASSIC TATTOOS,"['ANCHOR', 'DRAGON', 'HEART', 'ROSE']",0,0,0,0,Associative Knowledge
108,SEA CREATURES,"['CRAB', 'RAY', 'SPONGE', 'SQUID']",0,0,1,1,Semantic Knowledge
109,BASIC TWO-DIMENSIONAL SHAPES,"['CIRCLE', 'DIAMOND', 'SQUARE', 'TRIANGLE']",1,1,1,1,Semantic Knowledge
110,BOXING MANEUVERS,"['BOB', 'CROSS', 'HOOK', 'WEAVE']",0,0,0,0,Encyclopedic Knowledge
111,FANCY ___,"['FEAST', 'FREE', 'PANTS', 'THAT']",0,0,0,0,Multiword Expressions
112,"OSTENTATIOUS, AS AN OUTFIT","['BRIGHT', 'FLASHY', 'GARISH', 'LOUD']",0,0,0,0,Associative Knowledge
113,EUPHEMISMS FOR FLATULENCE,"['GAS', 'STINKER', 'TOOT', 'WIND']",0,0,0,0,Associative Knowledge
114,KINDS OF BLOND,"['DIRTY', 'HONEY', 'PLATINUM', 'STRAWBERRY']",0,0,0,0,Associative Knowledge
115,WHAT “O” MIGHT MEAN,"['HUG', 'OF', 'OXYGEN', 'ZERO']",0,0,0,0,Encyclopedic Knowledge
116,"""GIVE ME A BREAK!""","['BROTHER', 'LORD', 'PLEASE', 'SHEESH']",0,0,0,0,Semantic Knowledge
117,ECCLESIASTICAL TITLES,"['BISHOP', 'CARDINAL', 'PASTOR', 'PRIOR']",0,0,0,0,Semantic Knowledge
118,ROCK & ROLL HALL OF FAME INDUCTEES,"['HEART', 'MADONNA', 'PRINCE', 'QUEEN']",0,0,0,0,Encyclopedic Knowledge
119,CITY HOMOPHONES,"['DELI', 'NIECE', 'ROAM', 'SOUL']",0,0,0,0,Combined Category
120,DRINKS WITH CAFFEINE,"['COCOA', 'COFFEE', 'MATE', 'TEA']",1,0,1,0,Semantic Knowledge
121,UNEXCITING,"['BORING', 'DULL', 'MUNDANE', 'VANILLA']",0,0,0,0,Semantic Knowledge
122,COMEDIAN’S PERFORMANCE,"['ACT', 'BIT', 'ROUTINE', 'SET']",0,0,0,0,Associative Knowledge
123,MARTINI SPECIFICATIONS,"['DIRTY', 'DRY', 'TWIST', 'UP']",0,0,0,0,Encyclopedic Knowledge
124,COMMERCIAL ORGANIZATION,"['AGENCY', 'COMPANY', 'ENTERPRISE', 'FIRM']",0,1,1,1,Semantic Knowledge
125,FARM FIXTURES,"['COOP', 'PEN', 'STABLE', 'STY']",0,1,1,1,Associative Knowledge
126,CLASSIC DOG NAMES,"['FLUFFY', 'REX', 'ROVER', 'SPOT']",0,0,1,0,Associative Knowledge
127,COLORS MINUS THEIR FIRST LETTERS,"['INK', 'LACK', 'OLD', 'RANGE']",0,0,0,0,Combined Category
128,TIME OFF,"['BREAK', 'HOLIDAY', 'LEAVE', 'RECESS']",0,1,1,1,Semantic Knowledge
129,FEATURES OF A BELT,"['BUCKLE', 'HOLE', 'LOOP', 'STRAP']",0,0,0,0,Semantic Knowledge
130,HOMOPHONES,"['HOLEY', 'HOLI', 'HOLY', 'WHOLLY']",0,1,0,0,Linguistic Knowledge
131,___WOOD,"['DOG', 'DRIFT', 'HOLLY', 'SANDAL']",0,0,0,0,Multiword Expressions
132,MAKE SHORTER,"['CLIP', 'CUT', 'PARE', 'TRIM']",0,1,1,0,Semantic Knowledge
133,MUSCULAR,"['BUILT', 'JACKED', 'RIPPED', 'SWOLE']",0,0,1,0,Semantic Knowledge
134,ENTHUSIAST,"['BUFF', 'FAN', 'LOVER', 'NUT']",0,0,0,0,Associative Knowledge
135,WRINKLY THINGS,"['BRAIN', 'PRUNE', 'PUG', 'WALNUT']",0,0,0,0,Associative Knowledge
136,MERRIMENT,"['CHEER', 'GLEE', 'FESTIVITY', 'MIRTH']",1,0,1,0,Semantic Knowledge
137,BOOKED FOR A WEDDING,"['BAND', 'CATERER', 'FLORIST', 'OFFICIANT']",0,1,0,0,Associative Knowledge
138,RHYMES,"['CHOIR', 'FIRE', 'LIAR', 'FRYER']",0,0,0,0,Linguistic Knowledge
139,___ PIT,"['BARBECUE', 'ORCHESTRA', 'SNAKE', 'TAR']",0,0,0,0,Multiword Expressions
140,HIT HARD,"['BANG', 'HAMMER', 'POUND', 'SLAM']",1,0,1,0,Semantic Knowledge
141,NEWSPAPER NAMES,"['CHRONICLE', 'HERALD', 'REGISTER', 'SUN']",0,0,0,0,Encyclopedic Knowledge
142,CRESCENT-SHAPED THINGS,"['BANANA', 'CROISSANT', 'MOON', 'SICKLE']",0,0,0,0,Associative Knowledge
143,POWER-UPS IN SUPER MARIO WORLD,"['FEATHER', 'FLOWER', 'MUSHROOM', 'STAR']",0,0,0,0,Encyclopedic Knowledge
144,DO SOME MARKETING,"['PITCH', 'PLUG', 'PROMOTE', 'PUSH']",1,0,0,0,Associative Knowledge
145,ROMANTIC TWOSOME,"['COUPLE', 'ITEM', 'PAIR', 'THING']",0,0,0,0,Associative Knowledge
146,TENNIS SCORES,"['AD', 'ALL', 'DEUCE', 'LOVE']",0,0,0,0,Encyclopedic Knowledge
147,WORDS WITH “FRUIT”,"['BREAD', 'DRAGON', 'JACK', 'PASSION']",0,0,0,0,Combined Category
148,HIGHEST POINT,"['CREST', 'PEAK', 'SUMMIT', 'VERTEX']",1,1,1,1,Semantic Knowledge
149,“CAN I GET YOUR ___?” (PHONE INFO REQUEST),"['CELL', 'CONTACT', 'DIGITS', 'NUMBER']",0,0,0,1,Associative Knowledge
150,MODIFIERS MEANING “SMALL”,"['BABY', 'MINI', 'POCKET', 'TOY']",0,0,1,1,Semantic Knowledge
151,INSIDE A SCRABBLE BOX,"['BAG', 'BOARD', 'RACKS', 'TILES']",0,0,1,1,Encyclopedic Knowledge
152,HURT,"['ACHE', 'BURN', 'SMART', 'STING']",0,0,1,0,Semantic Knowledge
153,LOOK AFTER,"['GUARD', 'MIND', 'TEND', 'WATCH']",0,0,0,0,Semantic Knowledge
154,SOUGHT AFTER IN “THE WIZARD OF OZ”,"['BRAIN', 'COURAGE', 'HEART', 'HOME']",0,0,0,0,Encyclopedic Knowledge
155,SILENT “W”,"['ANSWER', 'TWO', 'WRIST', 'WRONG']",0,0,0,0,Linguistic Knowledge
156,BASEBALL EQUIPMENT,"['BALL', 'BASE', 'BAT', 'GLOVE']",0,0,0,0,Semantic Knowledge
157,HARD HIT,"['BLOW', 'LICK', 'SOCK', 'STRIKE']",0,0,0,0,Semantic Knowledge
158,ORIGINAL MONOPOLY TOKENS,"['BOOT', 'IRON', 'THIMBLE', 'TOP HAT']",0,0,1,0,Encyclopedic Knowledge
159,___ BUNNY,"['BAD', 'BUGS', 'DUST', 'HONEY']",0,0,0,0,Multiword Expressions
160,OF-THE-MOMENT,"['BIG', 'HOT', 'IN', 'POPULAR']",0,0,1,0,Associative Knowledge
161,PICTOGRAPH,"['CHARACTER', 'GLYPH', 'ICON', 'SYMBOL']",1,0,1,0,Semantic Knowledge
162,"IMPOSE, AS A PENALTY","['ASSESS', 'CHARGE', 'FINE', 'LEVY']",0,0,0,0,Semantic Knowledge
163,WORDS BEGINNING WITH BODY PARTS,"['HANDSOME', 'HIPPO', 'LEGEND', 'LIPID']",0,0,0,0,Linguistic Knowledge
164,SMARTPHONE FEATURES BEGINNING WITH “C”,"['CALCULATOR', 'CALENDAR', 'CAMERA', 'CLOCK']",0,0,0,0,Semantic Knowledge
165,PARTS OF THE EYE,"['CONE', 'IRIS', 'LENS', 'PUPIL']",0,0,0,0,Semantic Knowledge
166,FAMILIAL NICKNAMES,"['DADA', 'GRAMMY', 'MUM', 'POPPY']",0,0,0,0,Semantic Knowledge
167,WORDS PRONOUNCED DIFFERENTLY WITH ACCENT MARKS,"['EXPOSE', 'PATE', 'RESUME', 'ROSE']",0,0,0,0,Linguistic Knowledge
168,BRING INTO BEING,"['COIN', 'CREATE', 'DEVISE', 'INVENT']",0,0,0,0,Semantic Knowledge
169,EXCELLENT,"['FINE', 'PRIME', 'QUALITY', 'STERLING']",1,0,0,1,Semantic Knowledge
170,SYMBOLS ABOVE NUMBERS ON A KEYBOARD,"['AT', 'DOLLAR', 'PERCENT', 'POUND']",0,1,0,0,Encyclopedic Knowledge
171,PASS THE ___,"['BAR', 'BUCK', 'TIME', 'TORCH']",0,0,0,0,Multiword Expressions
172,SYMBOLIC RODS,"['BATON', 'SCEPTER', 'STAFF', 'WAND']",0,1,0,0,Associative Knowledge
173,DENTAL TERMS,"['CAVITY', 'CROWN', 'FILLING', 'PLAQUE']",0,0,1,0,Associative Knowledge
174,RUBBER STAMP WORDS,"['APPROVED', 'PAID', 'URGENT', 'VOID']",0,0,0,0,Encyclopedic Knowledge
175,___ YEAR,"['GAP', 'LEAP', 'LIGHT', 'SCHOOL']",0,0,0,0,Multiword Expressions
176,RIP OFF,"['FLEECE', 'HOSE', 'ROB', 'STIFF']",0,0,0,0,Semantic Knowledge
177,THINGS MADE OF WAX,"['CANDLE', 'CRAYON', 'HONEYCOMB', 'SEAL']",0,0,1,0,Associative Knowledge
178,PARTS OF AN AIRPLANE,"['CABIN', 'ENGINE', 'NOSE', 'WING']",0,1,0,0,Semantic Knowledge
179,UNITS OF VEGETABLES,"['BULB', 'EAR', 'HEAD', 'STALK']",0,0,0,0,Associative Knowledge
180,DECLINE,"['DIP', 'DROP', 'FALL', 'SINK']",0,0,0,0,Semantic Knowledge
181,MOVE WITH SPEED,"['BLAZE', 'FLY', 'RACE', 'TEAR']",0,0,0,0,Semantic Knowledge
182,KINDS OF DANCE,"['MODERN', 'SALSA', 'SWING', 'TAP']",1,0,0,0,Semantic Knowledge
183,BABY ___,"['BOOM', 'CARROT', 'SHOWER', 'TALK']",0,0,0,0,Multiword Expressions
184,SUNDAE TOPPINGS,"['CHERRY', 'FUDGE', 'NUTS', 'SPRINKLES']",1,0,0,1,Associative Knowledge
185,LEAVE HIGH AND DRY,"['DESERT', 'DITCH', 'MAROON', 'STRAND']",0,0,1,0,Semantic Knowledge
186,“PHOOEY!”,"['CURSES', 'DARN', 'RATS', 'SHOOT']",0,1,0,0,Encyclopedic Knowledge
187,WORDS IN TONGUE TWISTERS,"['FUZZY', 'PEPPERS', 'SEASHELLS', 'WOODCHUCK']",0,0,0,0,Encyclopedic Knowledge
188,SHOW OFF,"['GRANDSTAND', 'PEACOCK', 'POSTURE', 'STRUT']",0,0,1,0,Semantic Knowledge
189,FOREMOST,"['MAIN', 'PARAMOUNT', 'PRIME', 'SUPREME']",1,0,1,0,Semantic Knowledge
190,COLORS IN BRAZIL’S FLAG,"['BLUE', 'GREEN', 'WHITE', 'YELLOW']",0,0,0,0,Encyclopedic Knowledge
191,___ LETTER,"['CHAIN', 'COVER', 'LOVE', 'SCARLET']",0,0,0,0,Multiword Expressions
192,DATA SET DATA,"['MEAN', 'MEDIAN', 'MODE', 'RANGE']",1,0,1,1,Associative Knowledge
193,CHEMISTRY TERMS,"['BASE', 'BOND', 'ELEMENT', 'SOLUTION']",0,0,0,1,Associative Knowledge
194,ADJECTIVE INTENSIFIERS,"['AWFUL', 'PRETTY', 'RATHER', 'REAL']",0,0,0,0,Linguistic Knowledge
195,RADIO HALL OF FAME MEMBERS,"['GLASS', 'GROSS', 'KING', 'STERN']",0,0,0,0,Encyclopedic Knowledge
196,DECEIVE,"['CON', 'DUPE', 'FOOL', 'TRICK']",0,0,1,0,Semantic Knowledge
197,INSIDE INFO,"['DOPE', 'SCOOP', 'SKINNY', 'WORD']",0,0,0,0,Semantic Knowledge
198,TILT TO ONE SIDE,"['CANT', 'LEAN', 'LIST', 'SLOPE']",0,0,0,0,Semantic Knowledge
199,WORDS SPELLED WITH AN UPSIDE-DOWN CALCULATOR,"['BOOB', 'EGGSHELL', 'GIGGLE', 'HELLO']",0,0,0,0,Encyclopedic Knowledge
200,LIST OF CANDIDATES,"['BALLOT', 'ROSTER', 'SLATE', 'TICKET']",1,0,1,0,Associative Knowledge
201,PROTECTIVE BARRIER,"['BUFFER', 'CUSHION', 'PAD', 'SHIELD']",0,0,0,0,Semantic Knowledge
202,MEDICINE FORMATS,"['CAPSULE', 'CREAM', 'SYRUP', 'TABLET']",0,0,0,1,Semantic Knowledge
203,PEA ___,"['COAT', 'GREEN', 'POD', 'SOUP']",0,0,0,0,Multiword Expressions
204,THINGS TO PAY,"['BILL', 'CHECK', 'INVOICE', 'TAB']",1,0,1,1,Semantic Knowledge
205,THIEVE,"['PINCH', 'ROB', 'STEAL', 'SWIPE']",1,0,1,0,Semantic Knowledge
206,MALE ANIMALS,"['BUCK', 'BULL', 'JACK', 'TOM']",0,0,0,0,Associative Knowledge
207,"LEGWEAR, IN THE SINGULAR","['JEAN', 'PANT', 'SHORT', 'TIGHT']",0,0,0,0,Semantic Knowledge
208,CREDENTIALS FOR ENTRY,"['BADGE', 'INVITE', 'PASS', 'TICKET']",0,0,0,0,Associative Knowledge
209,PRESIDE OVER,"['CHAIR', 'DIRECT', 'LEAD', 'RUN']",0,0,0,0,Semantic Knowledge
210,AMERICAN FOOTBALL POSITIONS,"['CENTER', 'END', 'SAFETY', 'TACKLE']",0,0,0,0,Encyclopedic Knowledge
211,POSTPONE,"['HOLD', 'PUNT', 'STALL', 'TABLE']",0,0,0,0,Semantic Knowledge
212,TOPIC OF DISCUSSION,"['ISSUE', 'MATTER', 'POINT', 'SUBJECT']",0,0,1,0,Semantic Knowledge
213,SECTION OF ONE’S LIFE,"['CHAPTER', 'PERIOD', 'PHASE', 'STAGE']",0,0,1,0,Associative Knowledge
214,"PARTS OF A CAR, INFORMALLY","['DASH', 'SHOCK', 'TANK', 'WHEEL']",0,0,0,1,Semantic Knowledge
215,COLOR HOMOPHONES,"['BLEW', 'CHORAL', 'READ', 'ROWS']",0,0,0,0,Linguistic Knowledge
216,STATES OF MATTER,"['GAS', 'LIQUID', 'PLASMA', 'SOLID']",1,1,1,1,Semantic Knowledge
217,ALL-TIMER,"['GREAT', 'HERO', 'ICON', 'LEGEND']",0,0,0,1,Semantic Knowledge
